"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
31.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,142.44,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,0.00,6.39,9.98,95.55,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,58.50,66.54,81.64,30.70,30.59,30.58,85.00,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
32.00,33.54,29.98,67.20,650.00,211.66,0.00,7.06,110.48,9.60,4.02,41.90,0.00,142.44,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,0.00,6.39,9.98,65.18,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,58.50,66.54,81.64,30.70,30.59,30.58,85.00,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
33.00,33.54,29.98,67.20,650.00,211.66,0.00,7.06,110.48,9.60,4.02,41.90,0.00,142.44,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,16.00,6.39,9.98,95.55,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,58.50,66.54,81.64,30.70,30.59,30.58,85.00,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
34.00,33.54,29.98,67.20,650.00,211.66,0.00,7.06,110.48,9.60,4.02,41.90,0.00,142.44,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,16.00,6.39,9.98,95.55,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
35.00,33.54,29.98,67.20,650.00,211.66,0.00,7.06,110.48,9.60,4.02,41.90,0.00,142.44,7.35,3.95,164.07,112.47,88.74,37.90,215.19,26.69,6.88,87.77,26.00,6.39,9.98,95.55,10.52,19.79,228.68,220.60,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,65.11,57.34,66.54,81.64,30.70,30.59,30.58,76.77,87.36,21.38,110.32,203.40,20.46,20.42,22.16,14.58,5.06
36.00,33.54,29.98,67.20,650.00,211.66,0.00,7.06,110.48,9.60,4.02,41.90,0.00,142.44,7.35,3.95,164.07,112.47,88.74,37.90,215.19,26.69,6.88,87.77,26.00,6.39,9.98,95.55,10.52,19.79,228.68,220.60,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,65.11,57.34,66.54,81.64,30.70,30.59,30.58,76.77,87.36,21.38,110.32,203.40,20.46,20.42,22.16,14.58,5.06
37.00,33.54,29.98,67.20,650.00,211.66,0.00,7.06,110.48,9.60,4.02,41.90,0.00,142.44,7.35,3.95,164.07,112.47,88.74,37.90,215.19,26.69,6.88,87.77,36.00,6.39,9.98,95.55,10.52,19.79,228.68,220.60,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,65.11,57.34,66.54,81.64,30.70,30.59,30.58,76.77,87.36,21.38,110.32,203.40,20.46,20.42,22.16,14.58,5.06
38.00,33.54,29.98,67.20,650.00,211.66,0.00,7.06,110.48,9.60,4.02,41.90,0.00,142.44,7.35,3.95,164.07,112.47,88.74,37.90,215.19,26.69,6.88,87.77,36.00,6.39,9.98,87.94,10.52,19.79,228.68,220.60,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,65.11,57.34,66.54,81.64,30.70,30.59,30.58,76.77,87.36,21.38,110.32,203.40,20.46,20.42,22.16,14.58,5.06
39.00,33.54,29.98,67.20,650.00,211.66,0.00,7.06,110.48,9.60,4.02,41.90,0.00,140.12,7.35,3.95,164.07,112.47,88.74,37.90,215.19,26.69,6.88,87.77,36.00,6.39,9.98,61.22,10.52,19.79,228.68,220.60,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,65.11,57.34,66.54,81.64,30.70,30.59,30.58,76.77,87.36,21.38,110.32,203.40,20.46,20.42,22.16,14.58,5.06
40.00,33.54,29.98,67.20,650.00,211.66,0.00,7.06,110.48,9.60,4.02,41.90,0.00,120.55,7.35,3.95,164.07,112.47,88.74,37.90,215.19,26.69,6.88,87.77,36.00,6.39,9.98,61.22,10.52,19.79,228.68,220.60,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,65.11,57.34,66.54,81.64,30.70,30.59,30.58,76.77,87.36,21.38,110.32,203.40,20.46,20.42,22.16,14.58,5.06
41.00,33.54,29.98,67.20,650.00,211.66,0.00,7.06,110.48,9.60,4.02,41.90,0.00,90.78,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,26.00,6.39,9.00,61.22,10.52,19.79,228.68,220.60,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,65.11,57.34,66.54,81.64,30.70,30.59,30.58,85.00,87.36,21.38,110.32,203.40,20.46,20.42,22.16,21.00,5.06
42.00,33.54,29.98,67.20,650.00,211.66,0.00,7.06,110.48,9.60,4.02,41.90,0.00,78.69,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,26.00,6.39,9.00,61.22,10.52,19.79,228.68,220.60,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,65.11,57.34,66.54,81.64,25.67,25.57,25.56,85.00,87.36,21.38,110.32,203.40,20.46,20.42,22.16,21.00,5.06
43.00,33.54,29.98,67.20,650.00,211.66,0.00,7.06,110.48,9.60,4.02,41.90,0.00,78.69,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,16.00,6.39,9.00,57.45,10.52,18.92,228.68,220.60,67.57,67.16,67.94,28.18,184.35,197.33,184.41,4.31,74.99,65.11,57.34,66.54,81.64,18.64,18.61,18.61,85.00,87.36,21.38,110.32,203.40,20.46,20.42,22.16,21.00,5.06
44.00,33.54,29.98,67.20,650.00,211.66,0.00,7.06,110.48,9.60,4.02,41.90,0.00,78.69,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,16.00,6.39,9.00,36.36,10.52,14.03,228.68,220.60,67.57,67.16,67.94,28.18,184.35,197.33,184.41,2.88,74.99,65.11,57.77,66.54,81.64,16.95,16.93,0.00,85.00,87.36,26.78,110.32,203.40,20.46,20.42,22.16,14.58,5.06
