Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Considera en Escenario?,Tensi?n,Tensión de Operación,Estado
195,BOTIFLACA 138,2181,1,0,0,0,0,0,0,0,0,,138,,1
196,MILL SITE 138,2183,1,0,0,0,0,0,0,0,0,,138,,1
197,PLAZA TOQUEPALA 138,2184,1,0,0,0,0,0,0,0,0,,138,,1
198,QUEBRADA HONDA 138,2185,1,0,0,0,0,0,0,0,0,,138,,1
199,PANAMERICANA SOLAR 138,2186,1,0,0,0,0,0,0,0,0,,138,,1
200,TOQUEPALA 138,2187,1,0,0,0,0,0,0,0,0,,138,,1
201,ILO ELS 138,2188,1,0,0,0,0,0,0,0,0,,138,,1
202,REFINERIA 138,2189,1,0,0,0,0,0,0,0,0,,138,,1
203,LIXIVIACION 138,2190,1,0,0,0,0,0,0,0,0,,138,,1
204,PUSHBACK 138,2205,1,0,0,0,0,0,0,0,0,,138,,1
205,INTIPAMPA 138,2208,1,0,0,0,0,0,0,0,0,,138,,1
206,PLANICIE 220 B,2238,1,0,0,0,0,0,0,0,0,,220,,1
207,CHILCA CTM 220 B,2239,1,0,0,0,0,0,0,0,0,,220,,1
208,CARAPONGO 220 B,2241,1,0,0,0,0,0,0,0,0,,220,,1
209,CHILCA 1 220,2242,1,0,0,0,0,0,0,0,0,,220,,1
210,DERIVACION 220,2257,1,0,0,0,0,0,0,0,0,,220,,1
211,CHAVARRIA 220 B,2258,1,0,0,0,0,0,0,0,0,,220,,1
212,DERIVACION 220 - BARRA II,2259,1,0,0,0,0,0,0,0,0,,220,,1
213,CAMPAS 220,2260,1,0,0,0,0,0,0,0,0,,220,,1
214,CAMPAS 500,2261,1,0,0,0,0,0,0,0,0,,500,,1
215,PLANICIE 500,2262,1,0,0,0,0,0,0,0,0,,500,500,1
216,NUEVA CHINCHA 220,2263,1,0,0,0,0,0,0,0,0,,220,,1
217,CAHUACHI 220,2264,1,0,0,0,0,0,0,0,0,,220,,1
218,VALLE DEL CHIRA 220,2265,1,0,0,0,0,0,0,0,0,,220,,1
219,SANTA ROSA 220 B,2281,1,0,0,0,0,0,0,0,0,,220,,1
220,ERSUR 220,2295,1,0,0,0,0,0,0,0,0,,220,,1
221,FLAMENCO220,2296,1,0,0,0,0,0,0,0,0,,220,,1
222,BARRA_3_HERMANAS,2297,1,0,0,0,0,0,0,0,0,,220,,1
223,BARRA_PTA_LOMITAS,2304,1,0,0,0,0,0,0,0,0,,220,,1
224,PUERTO CHANCAY 220,2308,1,0,0,0,0,0,0,0,0,,220,,1
225,CHAPARRAL 138,2309,1,0,0,0,0,0,0,0,0,,138,,1
226,CHIRIBAMBA 220,2310,1,0,0,0,0,0,0,0,0,,220,,1
227,BARRA_PTA_LOMITAS_2,2334,1,0,0,0,0,0,0,0,0,,220,,1
