"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
11.00,0.00,23.17,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.04,0.00,17.56,10.93,7.90,5.13,5.70,6.60,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.08,3.19,7.80,3.45,0.00,19.51,19.22,0.01,18.34,0.00,0.60,19.51,19.51,19.51,2.40,3.71,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,1.95,1.66,18.00,1.02,1.66,0.00,1.23,0.00,0.00,0.00,0.00,0.14,0.66,1.71,0.00,2.00,0.00
12.00,0.16,23.08,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.46,0.43,17.56,10.93,7.90,5.13,5.97,5.90,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.66,3.08,7.49,3.45,0.00,19.51,19.22,5.23,18.34,0.75,0.60,19.51,19.51,19.51,2.40,3.41,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,1.79,1.34,18.00,1.02,1.66,0.00,1.23,0.00,0.00,0.00,0.00,4.11,0.65,1.80,0.00,2.00,1.99
13.00,0.72,23.21,0.81,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.96,2.31,17.56,10.93,7.90,4.86,5.72,4.80,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,2.06,3.20,7.14,3.45,0.00,19.51,19.22,29.19,18.34,4.72,0.60,19.51,19.51,19.51,2.40,3.48,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,1.58,1.13,18.00,1.02,1.66,0.02,1.23,0.00,0.00,0.00,0.00,25.00,0.66,1.86,0.00,2.00,7.97
14.00,1.80,23.21,2.19,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,2.00,5.44,17.56,10.93,7.90,4.49,5.29,3.40,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,4.29,3.40,6.79,3.45,0.00,19.51,19.22,73.10,18.34,6.26,0.60,19.51,19.51,19.51,2.40,3.68,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,1.36,0.96,18.00,1.02,1.66,0.04,1.23,0.00,0.00,0.00,0.00,63.17,0.68,1.91,0.00,2.00,23.83
15.00,3.42,23.58,4.32,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,3.93,8.64,17.56,10.93,7.90,4.57,4.48,3.40,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,5.35,3.67,7.32,3.45,0.00,19.51,19.22,111.15,18.34,14.45,0.60,19.51,19.51,19.51,2.40,3.18,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,1.20,0.92,18.00,1.02,1.66,0.05,1.23,0.00,0.00,0.00,0.00,86.63,0.66,1.88,0.00,2.00,42.66
16.00,4.88,23.53,7.26,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,6.37,8.20,17.56,10.93,7.90,4.79,3.53,3.40,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,5.62,3.96,8.15,3.45,0.00,19.51,19.22,124.55,18.34,32.81,0.60,19.51,19.51,19.51,2.40,2.44,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,1.06,0.92,18.00,1.02,1.66,0.08,1.23,0.00,0.00,0.00,0.00,95.83,0.63,1.82,0.00,2.00,60.43
17.00,8.82,23.46,8.84,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,8.80,8.83,17.56,10.93,7.90,4.62,3.35,3.40,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,8.51,3.71,8.10,3.45,0.00,19.51,19.22,127.47,18.34,31.46,0.60,19.51,19.51,19.51,2.40,2.37,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,0.85,0.86,18.00,1.02,1.66,0.37,1.23,0.00,0.00,0.00,0.00,99.95,0.72,1.97,0.10,2.00,69.33
18.00,13.60,23.35,7.23,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,9.60,15.49,17.56,10.93,7.90,4.32,3.43,3.40,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,13.68,3.28,7.76,3.45,0.00,19.51,19.22,130.76,18.34,31.01,0.60,19.51,19.51,19.51,2.40,2.52,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,0.62,0.79,18.00,1.02,1.66,0.51,1.23,0.00,0.00,0.00,0.00,102.33,0.84,2.17,0.20,2.00,38.92
19.00,12.83,23.51,13.29,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,9.80,15.87,17.56,10.93,7.90,4.13,3.99,3.40,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,13.45,3.47,8.72,3.45,0.00,19.51,19.22,130.40,18.34,33.07,0.60,19.51,19.51,19.51,2.40,2.73,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,0.56,0.74,18.00,1.02,1.66,0.63,1.23,0.66,0.82,0.00,0.00,100.52,1.29,3.54,0.20,2.00,80.05
20.00,14.98,23.60,14.22,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,9.89,16.47,17.56,10.93,7.90,3.97,4.70,3.40,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,14.05,3.87,10.11,3.45,0.00,19.51,19.22,133.77,18.34,33.26,0.60,19.51,19.51,19.51,2.40,2.97,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,0.56,0.70,18.00,1.02,1.66,0.70,1.23,0.66,0.82,0.00,0.00,104.63,1.83,5.30,0.30,2.00,68.42
